id,names,voteID
68000060007,桃園市大園區埔心里,201601
68000060006,桃園市大園區五權里,201601
68000060005,桃園市大園區橫峰里,201601
68000060004,桃園市大園區和平里,201601
68000060003,桃園市大園區溪海里,201601
68000060002,桃園市大園區田心里,201601
68000060001,桃園市大園區大園里,201601
68000050040,桃園市蘆竹區濱海里,201801
68000050039,桃園市蘆竹區正興里,201801
68000050038,桃園市蘆竹區營福里,201601
68000050037,桃園市蘆竹區上興里,201601
68000050036,桃園市蘆竹區中興里,201601
68000050035,桃園市蘆竹區興榮里,201601
68000050034,桃園市蘆竹區福祿里,201601
68000050033,桃園市蘆竹區中山里,201601
68000050032,桃園市蘆竹區吉祥里,201601
68000050031,桃園市蘆竹區長壽里,201601
68000050030,桃園市蘆竹區蘆興里,201601
68000050029,桃園市蘆竹區福興里,201601
68000050028,桃園市蘆竹區福昌里,201601
68000050027,桃園市蘆竹區順興里,201601
68000050026,桃園市蘆竹區羊稠里,201601
68000050025,桃園市蘆竹區營盤里,201601
68000050024,桃園市蘆竹區瓦窯里,201601
68000050023,桃園市蘆竹區宏竹里,201601
68000050022,桃園市蘆竹區上竹里,201601
68000050021,桃園市蘆竹區富竹里,201601
68000050020,桃園市蘆竹區錦中里,201601
68000050019,桃園市蘆竹區長興里,201601
68000050018,桃園市蘆竹區南興里,201601
68000050017,桃園市蘆竹區南榮里,201601
68000050016,桃園市蘆竹區海湖里,201601
68000050015,桃園市蘆竹區坑口里,201601
68000050014,桃園市蘆竹區坑子里,201601
68000050013,桃園市蘆竹區外社里,201601
68000050012,桃園市蘆竹區山腳里,201601
68000050011,桃園市蘆竹區山鼻里,201601
68000050010,桃園市蘆竹區內厝里,201601
68000050009,桃園市蘆竹區五福里,201601
68000050008,桃園市蘆竹區錦興里,201601
68000050007,桃園市蘆竹區南崁里,201601
68000050006,桃園市蘆竹區蘆竹里,201601
68000050004,桃園市蘆竹區大竹里,201601
68000050003,桃園市蘆竹區新莊里,201601
68000050002,桃園市蘆竹區中福里,201601
68000050001,桃園市蘆竹區新興里,201601
68000040041,桃園市楊梅區頭湖里,201601
68000040040,桃園市楊梅區三民里,201601
68000040039,桃園市楊梅區裕新里,201601
68000040038,桃園市楊梅區富豐里,201601
68000040037,桃園市楊梅區高上里,201601
68000040036,桃園市楊梅區瑞溪里,201601
68000040035,桃園市楊梅區永平里,201601
68000040034,桃園市楊梅區瑞坪里,201601
68000040033,桃園市楊梅區雙榮里,201601
68000040032,桃園市楊梅區新榮里,201601
68000040031,桃園市楊梅區青山里,201601
68000040030,桃園市楊梅區秀才里,201601
68000040029,桃園市楊梅區裕成里,201601
68000040028,桃園市楊梅區金溪里,201601
68000040027,桃園市楊梅區楊明里,201601
68000040026,桃園市楊梅區中山里,201601
68000040025,桃園市楊梅區上湖里,201601
68000040024,桃園市楊梅區三湖里,201601
68000040023,桃園市楊梅區瑞原里,201601
68000040022,桃園市楊梅區員本里,201601
68000040021,桃園市楊梅區豐野里,201601
68000040020,桃園市楊梅區富岡里,201601
68000040019,桃園市楊梅區光華里,201601
68000040018,桃園市楊梅區仁美里,201601
68000040017,桃園市楊梅區高榮里,201601
68000040016,桃園市楊梅區高山里,201601
68000040015,桃園市楊梅區梅溪里,201601
68000040014,桃園市楊梅區四維里,201601
68000040013,桃園市楊梅區瑞塘里,201601
68000040012,桃園市楊梅區金龍里,201601
68000040011,桃園市楊梅區埔心里,201601
68000040010,桃園市楊梅區大同里,201601
68000040009,桃園市楊梅區梅新里,201601
68000040008,桃園市楊梅區上田里,201601
68000040007,桃園市楊梅區水美里,201601
68000040006,桃園市楊梅區東流里,201601
68000040005,桃園市楊梅區大平里,201601
68000040004,桃園市楊梅區永寧里,201601
68000040003,桃園市楊梅區紅梅里,201601
68000040002,桃園市楊梅區楊江里,201601
68000040001,桃園市楊梅區楊梅里,201601
68000030028,桃園市大溪區仁美里,201801
68000030027,桃園市大溪區仁和里,201601
68000030026,桃園市大溪區仁文里,201601
68000030025,桃園市大溪區田心里,201601
68000030024,桃園市大溪區三元里,201601
68000030023,桃園市大溪區光明里,201601
68000030022,桃園市大溪區瑞源里,201601
68000030021,桃園市大溪區南興里,201601
