provinceID,cityID,districtID,townID,villageID,pollStationID,no,vote,votePercentage,isElected,id,voteID,oldID
03,002,00,001,0040,65,1,425,45.35,*,,200901,03002001040
03,002,00,001,0040,65,2,512,54.64, ,,200901,03002001040
03,002,00,002,0041,66,1,318,62.97,*,10002020028,200901,03002002041
03,002,00,002,0041,66,2,187,37.02, ,10002020028,200901,03002002041
03,002,00,002,0041,67,1,325,64.74,*,10002020028,200901,03002002041
03,002,00,002,0041,67,2,177,35.25, ,10002020028,200901,03002002041
03,002,00,002,0042,68,1,648,66.66,*,10002020004,200901,03002002042
03,002,00,002,0042,68,2,324,33.33, ,10002020004,200901,03002002042
03,002,00,002,0043,69,1,623,66.48,*,10002020005,200901,03002002043
03,002,00,002,0043,69,2,314,33.51, ,10002020005,200901,03002002043
03,002,00,002,0043,70,1,609,55.26,*,10002020005,200901,03002002043
03,002,00,002,0043,70,2,493,44.73, ,10002020005,200901,03002002043
03,002,00,002,0044,71,1,639,73.53,*,10002020006,200901,03002002044
03,002,00,002,0044,71,2,230,26.46, ,10002020006,200901,03002002044
03,002,00,002,0044,72,1,461,68.49,*,10002020006,200901,03002002044
03,002,00,002,0044,72,2,212,31.5, ,10002020006,200901,03002002044
03,002,00,002,0045,73,1,453,64.34,*,10002020007,200901,03002002045
03,002,00,002,0045,73,2,251,35.65, ,10002020007,200901,03002002045
03,002,00,002,0045,74,1,460,53.67,*,10002020007,200901,03002002045
03,002,00,002,0045,74,2,397,46.32, ,10002020007,200901,03002002045
03,002,00,002,0046,75,1,471,55.28,*,10002020008,200901,03002002046
03,002,00,002,0046,75,2,381,44.71, ,10002020008,200901,03002002046
03,002,00,002,0046,76,1,340,44.85,*,10002020008,200901,03002002046
03,002,00,002,0046,76,2,418,55.14, ,10002020008,200901,03002002046
03,002,00,002,0047,77,1,537,59.14,*,10002020009,200901,03002002047
03,002,00,002,0047,77,2,371,40.85, ,10002020009,200901,03002002047
03,002,00,002,0048,78,1,522,54.37,*,10002020010,200901,03002002048
03,002,00,002,0048,78,2,438,45.62, ,10002020010,200901,03002002048
03,002,00,002,0049,79,1,464,59.79,*,10002020011,200901,03002002049
03,002,00,002,0049,79,2,312,40.2, ,10002020011,200901,03002002049
03,002,00,002,0050,80,1,441,59.59,*,10002020030,200901,03002002050
03,002,00,002,0050,80,2,299,40.4, ,10002020030,200901,03002002050
03,002,00,002,0051,81,1,633,63.61,*,10002020029,200901,03002002051
03,002,00,002,0051,81,2,362,36.38, ,10002020029,200901,03002002051
03,002,00,002,0052,82,1,422,56.79,*,10002020016,200901,03002002052
03,002,00,002,0052,82,2,321,43.2, ,10002020016,200901,03002002052
03,002,00,002,0052,83,1,515,51.24,*,10002020016,200901,03002002052
03,002,00,002,0052,83,2,490,48.75, ,10002020016,200901,03002002052
03,002,00,002,0052,84,1,365,55.98,*,10002020016,200901,03002002052
03,002,00,002,0052,84,2,287,44.01, ,10002020016,200901,03002002052
03,002,00,002,0053,85,1,536,56.65,*,10002020027,200901,03002002053
03,002,00,002,0053,85,2,410,43.34, ,10002020027,200901,03002002053
03,002,00,002,0053,86,1,542,58.84,*,10002020027,200901,03002002053
03,002,00,002,0053,86,2,379,41.15, ,10002020027,200901,03002002053
03,002,00,002,0054,87,1,506,58.76,*,10002020017,200901,03002002054
03,002,00,002,0054,87,2,355,41.23, ,10002020017,200901,03002002054
03,002,00,002,0054,88,1,466,55.21,*,10002020017,200901,03002002054
03,002,00,002,0054,88,2,378,44.78, ,10002020017,200901,03002002054
03,002,00,002,0055,89,1,646,65.78,*,10002020018,200901,03002002055
03,002,00,002,0055,89,2,336,34.21, ,10002020018,200901,03002002055
03,002,00,002,0055,90,1,381,54.5,*,10002020018,200901,03002002055
03,002,00,002,0055,90,2,318,45.49, ,10002020018,200901,03002002055
03,002,00,002,0056,91,1,489,56.27,*,10002020026,200901,03002002056
03,002,00,002,0056,91,2,380,43.72, ,10002020026,200901,03002002056
03,002,00,002,0056,92,1,521,57,*,10002020026,200901,03002002056
03,002,00,002,0056,92,2,393,42.99, ,10002020026,200901,03002002056
03,002,00,002,0056,93,1,556,57.61,*,10002020026,200901,03002002056
03,002,00,002,0056,93,2,409,42.38, ,10002020026,200901,03002002056
03,002,00,002,0057,94,1,471,53.22,*,10002020019,200901,03002002057
03,002,00,002,0057,94,2,414,46.77, ,10002020019,200901,03002002057
03,002,00,002,0057,95,1,382,53.35,*,10002020019,200901,03002002057
03,002,00,002,0057,95,2,334,46.64, ,10002020019,200901,03002002057
03,002,00,002,0057,96,1,426,60.59,*,10002020019,200901,03002002057
03,002,00,002,0057,96,2,277,39.4, ,10002020019,200901,03002002057
03,002,00,002,0058,97,1,525,57.06,*,10002020020,200901,03002002058
03,002,00,002,0058,97,2,395,42.93, ,10002020020,200901,03002002058
03,002,00,002,0058,98,1,549,58.15,*,10002020020,200901,03002002058
03,002,00,002,0058,98,2,395,41.84, ,10002020020,200901,03002002058
03,002,00,002,0059,99,1,356,55.1,*,10002020021,200901,03002002059
03,002,00,002,0059,99,2,290,44.89, ,10002020021,200901,03002002059
03,002,00,002,0060,100,1,557,54.6,*,10002020022,200901,03002002060
03,002,00,002,0060,100,2,463,45.39, ,10002020022,200901,03002002060
03,002,00,002,0060,101,1,553,60.97,*,10002020022,200901,03002002060
03,002,00,002,0060,101,2,354,39.02, ,10002020022,200901,03002002060
03,002,00,002,0061,102,1,415,48.59,*,10002020025,200901,03002002061
03,002,00,002,0061,102,2,439,51.4, ,10002020025,200901,03002002061
03,002,00,002,0061,103,1,350,55.64,*,10002020025,200901,03002002061
03,002,00,002,0061,103,2,279,44.35, ,10002020025,200901,03002002061
03,002,00,002,0061,104,1,382,54.26,*,10002020025,200901,03002002061
03,002,00,002,0061,104,2,322,45.73, ,10002020025,200901,03002002061
03,002,00,002,0062,105,1,574,59.29,*,10002020023,200901,03002002062
03,002,00,002,0062,105,2,394,40.7, ,10002020023,200901,03002002062
03,002,00,002,0062,106,1,566,62.47,*,10002020023,200901,03002002062
03,002,00,002,0062,106,2,340,37.52, ,10002020023,200901,03002002062
03,002,00,002,0063,107,1,617,60.25,*,10002020024,200901,03002002063
03,002,00,002,0063,107,2,407,39.74, ,10002020024,200901,03002002063
03,002,00,002,0063,108,1,681,62.59,*,10002020024,200901,03002002063
03,002,00,002,0063,108,2,407,37.4, ,10002020024,200901,03002002063
03,002,00,003,0064,109,1,342,62.98,*,10002030001,200901,03002003064
03,002,00,003,0064,109,2,201,37.01, ,10002030001,200901,03002003064
03,002,00,003,0064,110,1,505,58.92,*,10002030001,200901,03002003064
03,002,00,003,0064,110,2,352,41.07, ,10002030001,200901,03002003064
03,002,00,003,0064,111,1,459,59.07,*,10002030001,200901,03002003064
03,002,00,003,0064,111,2,318,40.92, ,10002030001,200901,03002003064
03,002,00,003,0065,112,1,377,64.88,*,10002030002,200901,03002003065
03,002,00,003,0065,112,2,204,35.11, ,10002030002,200901,03002003065
03,002,00,003,0066,113,1,454,55.56,*,10002030003,200901,03002003066
03,002,00,003,0066,113,2,363,44.43, ,10002030003,200901,03002003066
03,002,00,003,0066,114,1,407,60.65,*,10002030003,200901,03002003066
03,002,00,003,0066,114,2,264,39.34, ,10002030003,200901,03002003066
03,002,00,003,0066,115,1,352,57.32,*,10002030003,200901,03002003066
03,002,00,003,0066,115,2,262,42.67, ,10002030003,200901,03002003066
03,002,00,003,0067,116,1,233,56.41,*,10002030004,200901,03002003067
03,002,00,003,0067,116,2,180,43.58, ,10002030004,200901,03002003067
03,002,00,003,0067,117,1,159,67.08,*,10002030004,200901,03002003067
03,002,00,003,0067,117,2,78,32.91, ,10002030004,200901,03002003067
03,002,00,003,0068,118,1,312,59.77,*,10002030005,200901,03002003068
03,002,00,003,0068,118,2,210,40.22, ,10002030005,200901,03002003068
03,002,00,003,0068,119,1,183,61.4,*,10002030005,200901,03002003068
03,002,00,003,0068,119,2,115,38.59, ,10002030005,200901,03002003068
03,002,00,003,0069,120,1,28,23.72,*,,200901,03002003069
03,002,00,003,0069,120,2,90,76.27, ,,200901,03002003069
03,002,00,003,0070,121,1,451,59.81,*,10002030007,200901,03002003070
03,002,00,003,0070,121,2,303,40.18, ,10002030007,200901,03002003070
03,002,00,003,0070,122,1,520,61.53,*,10002030007,200901,03002003070
03,002,00,003,0070,122,2,325,38.46, ,10002030007,200901,03002003070
03,002,00,003,0071,123,1,410,53.66,*,10002030008,200901,03002003071
03,002,00,003,0071,123,2,354,46.33, ,10002030008,200901,03002003071
03,002,00,003,0072,124,1,459,54.44,*,10002030009,200901,03002003072
03,002,00,003,0072,124,2,384,45.55, ,10002030009,200901,03002003072
03,002,00,003,0072,125,1,341,50.51,*,10002030009,200901,03002003072
03,002,00,003,0072,125,2,334,49.48, ,10002030009,200901,03002003072
03,002,00,003,0072,126,1,432,50.94,*,10002030009,200901,03002003072
03,002,00,003,0072,126,2,416,49.05, ,10002030009,200901,03002003072
03,002,00,003,0072,127,1,389,44.71,*,10002030009,200901,03002003072
03,002,00,003,0072,127,2,481,55.28, ,10002030009,200901,03002003072
03,002,00,003,0073,128,1,454,56.11,*,10002030010,200901,03002003073
03,002,00,003,0073,128,2,355,43.88, ,10002030010,200901,03002003073
03,002,00,003,0073,129,1,350,45.99,*,10002030010,200901,03002003073
03,002,00,003,0073,129,2,411,54, ,10002030010,200901,03002003073
03,002,00,003,0074,130,1,368,48.74,*,10002030011,200901,03002003074
03,002,00,003,0074,130,2,387,51.25, ,10002030011,200901,03002003074
03,002,00,003,0075,131,1,186,51.38,*,10002030012,200901,03002003075
03,002,00,003,0075,131,2,176,48.61, ,10002030012,200901,03002003075
03,002,00,003,0076,132,1,174,51.17,*,10002030013,200901,03002003076
03,002,00,003,0076,132,2,166,48.82, ,10002030013,200901,03002003076
03,002,00,003,0077,133,1,177,45.26,*,10002030014,200901,03002003077
03,002,00,003,0077,133,2,214,54.73, ,10002030014,200901,03002003077
03,002,00,003,0078,134,1,149,47.3,*,10002030015,200901,03002003078
03,002,00,003,0078,134,2,166,52.69, ,10002030015,200901,03002003078
03,002,00,003,0079,135,1,240,56.07,*,10002030016,200901,03002003079
03,002,00,003,0079,135,2,188,43.92, ,10002030016,200901,03002003079
03,002,00,003,0080,136,1,186,54.38,*,10002030017,200901,03002003080
03,002,00,003,0080,136,2,156,45.61, ,10002030017,200901,03002003080
03,002,00,003,0081,137,1,415,52.53,*,10002030018,200901,03002003081
03,002,00,003,0081,137,2,375,47.46, ,10002030018,200901,03002003081
03,002,00,003,0082,138,1,387,60.37,*,10002030019,200901,03002003082
03,002,00,003,0082,138,2,254,39.62, ,10002030019,200901,03002003082
03,002,00,003,0083,139,1,455,56.31,*,10002030020,200901,03002003083
03,002,00,003,0083,139,2,353,43.68, ,10002030020,200901,03002003083
03,002,00,003,0084,140,1,257,47.76,*,10002030021,200901,03002003084
03,002,00,003,0084,140,2,281,52.23, ,10002030021,200901,03002003084
03,002,00,003,0084,141,1,279,58.49,*,10002030021,200901,03002003084
03,002,00,003,0084,141,2,198,41.5, ,10002030021,200901,03002003084
03,002,00,003,0085,142,1,415,56,*,10002030022,200901,03002003085
03,002,00,003,0085,142,2,326,43.99, ,10002030022,200901,03002003085
03,002,00,003,0086,143,1,520,59.77,*,10002030023,200901,03002003086
03,002,00,003,0086,143,2,350,40.22, ,10002030023,200901,03002003086
03,002,00,003,0087,144,1,106,45.68,*,10002030024,200901,03002003087
03,002,00,003,0087,144,2,126,54.31, ,10002030024,200901,03002003087
03,002,00,003,0088,145,1,284,59.53,*,10002030025,200901,03002003088
03,002,00,003,0088,145,2,193,40.46, ,10002030025,200901,03002003088
03,002,00,003,0089,146,1,172,63.46,*,10002030026,200901,03002003089
03,002,00,003,0089,146,2,99,36.53, ,10002030026,200901,03002003089
03,002,00,003,0089,147,1,124,72.51,*,10002030026,200901,03002003089
03,002,00,003,0089,147,2,47,27.48, ,10002030026,200901,03002003089
03,002,00,004,0090,148,1,96,44.65,*,10002040001,200901,03002004090
03,002,00,004,0090,148,2,119,55.34, ,10002040001,200901,03002004090
03,002,00,004,0091,149,1,176,41.12,*,10002040002,200901,03002004091
03,002,00,004,0091,149,2,252,58.87, ,10002040002,200901,03002004091
03,002,00,004,0092,150,1,205,48.12,*,10002040024,200901,03002004092
03,002,00,004,0092,150,2,221,51.87, ,10002040024,200901,03002004092
03,002,00,004,0093,151,1,303,50.16,*,10002040003,200901,03002004093
03,002,00,004,0093,151,2,301,49.83, ,10002040003,200901,03002004093
03,002,00,004,0094,152,1,83,37.38,*,10002040004,200901,03002004094
03,002,00,004,0094,152,2,139,62.61, ,10002040004,200901,03002004094
03,002,00,004,0095,153,1,292,33.37,*,10002040005,200901,03002004095
03,002,00,004,0095,153,2,583,66.62, ,10002040005,200901,03002004095
03,002,00,004,0096,154,1,192,34.16,*,10002040006,200901,03002004096
03,002,00,004,0096,154,2,370,65.83, ,10002040006,200901,03002004096
03,002,00,004,0097,155,1,147,32.73,*,10002040007,200901,03002004097
03,002,00,004,0097,155,2,302,67.26, ,10002040007,200901,03002004097
03,002,00,004,0098,156,1,248,24.57,*,10002040008,200901,03002004098
03,002,00,004,0098,156,2,761,75.42, ,10002040008,200901,03002004098
03,002,00,004,0099,157,1,246,29.32,*,10002040009,200901,03002004099
03,002,00,004,0099,157,2,593,70.67, ,10002040009,200901,03002004099
03,002,00,004,0100,158,1,174,31.92,*,10002040010,200901,03002004100
03,002,00,004,0100,158,2,371,68.07, ,10002040010,200901,03002004100
03,002,00,004,0101,159,1,108,28.95,*,10002040011,200901,03002004101
03,002,00,004,0101,159,2,265,71.04, ,10002040011,200901,03002004101
03,002,00,004,0102,160,1,113,23.94,*,10002040012,200901,03002004102
03,002,00,004,0102,160,2,359,76.05, ,10002040012,200901,03002004102
03,002,00,004,0103,161,1,124,26.21,*,10002040013,200901,03002004103
03,002,00,004,0103,161,2,349,73.78, ,10002040013,200901,03002004103
03,002,00,004,0104,162,1,298,48.61,*,10002040014,200901,03002004104
03,002,00,004,0104,162,2,315,51.38, ,10002040014,200901,03002004104
03,002,00,004,0104,163,1,175,27.68,*,10002040014,200901,03002004104
03,002,00,004,0104,163,2,457,72.31, ,10002040014,200901,03002004104
03,002,00,004,0105,164,1,232,41.65,*,10002040015,200901,03002004105
03,002,00,004,0105,164,2,325,58.34, ,10002040015,200901,03002004105
03,002,00,004,0105,165,1,220,31.11,*,10002040015,200901,03002004105
03,002,00,004,0105,165,2,487,68.88, ,10002040015,200901,03002004105
03,002,00,004,0106,166,1,371,34.9,*,10002040016,200901,03002004106
03,002,00,004,0106,166,2,692,65.09, ,10002040016,200901,03002004106
03,002,00,004,0107,167,1,240,37.15,*,10002040017,200901,03002004107
03,002,00,004,0107,167,2,406,62.84, ,10002040017,200901,03002004107
03,002,00,004,0108,168,1,366,32.94,*,10002040018,200901,03002004108
03,002,00,004,0108,168,2,745,67.05, ,10002040018,200901,03002004108
03,002,00,004,0109,169,1,200,40.32,*,10002040019,200901,03002004109
03,002,00,004,0109,169,2,296,59.67, ,10002040019,200901,03002004109
03,002,00,004,0110,170,1,376,39.24,*,10002040020,200901,03002004110
03,002,00,004,0110,170,2,582,60.75, ,10002040020,200901,03002004110
03,002,00,004,0111,171,1,273,40.8,*,10002040021,200901,03002004111
03,002,00,004,0111,171,2,396,59.19, ,10002040021,200901,03002004111
03,002,00,004,0112,172,1,257,36.14,*,10002040022,200901,03002004112
03,002,00,004,0112,172,2,454,63.85, ,10002040022,200901,03002004112
03,002,00,004,0113,173,1,299,42.41,*,10002040023,200901,03002004113
03,002,00,004,0113,173,2,406,57.58, ,10002040023,200901,03002004113
03,002,00,005,0114,174,1,485,49.08,*,10002050001,200901,03002005114
03,002,00,005,0114,174,2,503,50.91, ,10002050001,200901,03002005114
03,002,00,005,0115,175,1,543,49.36,*,10002050002,200901,03002005115
03,002,00,005,0115,175,2,557,50.63, ,10002050002,200901,03002005115
03,002,00,005,0116,176,1,483,41.85,*,10002050003,200901,03002005116
03,002,00,005,0116,176,2,671,58.14, ,10002050003,200901,03002005116
03,002,00,005,0116,177,1,428,37.64,*,10002050003,200901,03002005116
03,002,00,005,0116,177,2,709,62.35, ,10002050003,200901,03002005116
03,002,00,005,0117,178,1,342,34.75,*,10002050004,200901,03002005117
03,002,00,005,0117,178,2,642,65.24, ,10002050004,200901,03002005117
03,002,00,005,0117,179,1,208,42.1,*,10002050004,200901,03002005117
03,002,00,005,0117,179,2,286,57.89, ,10002050004,200901,03002005117
